ダウンロード実行日,2010年07月28日現在,件数,10985件
ＥＤＩＮＥＴコード,提出者名,所在地
E00105,株式会社ナカノフドー建設,東京都千代田区九段北４丁目２番２８号
E00106,株式会社東電通,東京都港区東新橋２－３－３
E00107,三機工業株式会社,東京都中央区日本橋室町二丁目１番１号
E00109,三晃金属工業株式会社,東京都港区芝浦４丁目１３番２３号
E00111,大和小田急建設株式会社,東京都新宿区西新宿４丁目３２番２２号
E00112,東鉄工業株式会社,東京都新宿区信濃町３４番地
E00113,太平電業株式会社,東京都千代田区神田神保町二丁目４番地
E00114,住友電設株式会社,大阪府大阪市西区阿波座２丁目１番４号
E00115,日本電設工業株式会社,東京都台東区池之端一丁目２番２３号
E00116,技研興業株式会社,東京都杉並区阿佐谷南三丁目７番２号
E00117,株式会社イチケン,東京都台東区北上野二丁目２３番５号
E00118,南海辰村建設株式会社,大阪府大阪市浪速区難波中三丁目５番１９号
E00119,中外炉工業株式会社,大阪府大阪市中央区平野町３丁目６番１号
E00120,株式会社淺沼組,大阪府大阪市天王寺区東高津町１２番６号
E00121,佐田建設株式会社,群馬県前橋市元総社町一丁目１番地の７
E00123,東海興業株式会社,東京都中央区八丁堀二丁目７番１号
E00124,和興エンジニアリング株式会社,東京都大田区平和島四丁目１番２３号
E00126,株式会社新井組,兵庫県西宮市池田町１２番２０号
E00127,日本電通株式会社,大阪府大阪市港区磯路２丁目２１番１号
E00129,日本電話施設株式会社,愛知県名古屋市中区千代田二丁目１５番１８号
E00130,株式会社　森組,大阪府大阪市中央区道修町４丁目５番１７号
E00133,金下建設株式会社,京都府宮津市字須津４７１番地の１
E00134,井上工業株式会社,群馬県高崎市和田町２番３号
E00135,新生テクノス株式会社,東京都港区芝公園二丁目４番１号
E00136,保安工業株式会社,東京都中央区日本橋本石町三丁目２番４号
E00137,株式会社ユアテック,宮城県仙台市宮城野区榴岡４丁目１番１号
E00138,株式会社ヤマト,群馬県前橋市古市町１１８番地
E00139,大成ロテック株式会社,東京都中央区京橋三丁目１３番１号有楽ビル内
E00140,株式会社ＣＫプロパティー,北海道札幌市中央区南４条西７丁目
E00141,株式会社鴻池組,大阪府大阪市北区梅田三丁目４番５号
E00142,日特建設株式会社,東京都中央区銀座８丁目１４番１４号
E00143,積水ハウス株式会社,大阪府大阪市北区大淀中一丁目１番８８号
E00144,松尾建設株式会社,佐賀県佐賀市八幡小路１番１０号
E00145,株式会社みらい建設グループ,東京都中央区日本橋小網町１番３号
E00146,株式会社九電工,福岡県福岡市南区那の川一丁目２３番３５号
E00147,戸田建設株式会社,東京都中央区京橋１－７－１
E00148,矢作建設工業株式会社,愛知県名古屋市東区葵三丁目１９番７号
E00149,高砂熱学工業株式会社,東京都千代田区神田駿河台４丁目２番地５
E00150,株式会社日立プラントテクノロジー,東京都豊島区東池袋四丁目５番２号
E00151,ニチモ株式会社,大阪府大阪市北区堂島浜一丁目４番４号
E00152,トヨタＴ＆Ｓ建設株式会社,愛知県豊田市亀首町上向イ田６５番地
E00153,株式会社朝日工業社,東京都港区浜松町１丁目２５番７号
E00154,株式会社つうけん,北海道札幌市白石区本通１９丁目南６番８号
E00156,大林道路株式会社,東京都墨田区堤通一丁目１９番の９号
E00157,都築電気株式会社,東京都港区新橋六丁目１９番１５号
E00160,株式会社テトラ,東京都新宿区西新宿六丁目３番１号
E00161,明星工業株式会社,大阪府大阪市西区京町堀１丁目８番５号
E00162,鹿島道路株式会社,東京都文京区後楽１－７－２７
E00164,揖斐川工業株式会社,岐阜県大垣市万石２丁目３１番地
E00165,株式会社ＲＩＳＥ,東京都千代田区神田駿河台三丁目１番地２　昭栄駿河台ビル６階
E00166,ミサワホーム株式会社,東京都杉並区高井戸東２丁目４番５号
E00167,株式会社佐藤渡辺,東京都港区南麻布一丁目１８番４号
E00168,日比谷総合設備株式会社,東京都港区芝浦四丁目２番８号
E00169,株式会社竹中工務店,大阪府大阪市中央区本町四丁目１番１３号
E00170,エス・バイ・エル株式会社,大阪府大阪市北区天満橋１－８－３０　ＯＡＰタワー５階
E00171,栗本建設工業株式会社,大阪府大阪市西区南堀江１－１１－１
E00173,株式会社サンテック,東京都千代田区二番町３番地１３
E00174,青木あすなろ建設株式会社,東京都港区芝二丁目１４－５
E00175,北野建設株式会社,長野県長野市県町５２４番地
E00176,世紀東急工業株式会社,東京都港区芝公園二丁目９番３号
E00177,池野通建株式会社,東京都北区岸町１丁目９番４号
E00178,日成ビルド工業株式会社,石川県金沢市金石北３丁目１６番１０号
